Timestamp,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
56:38:00,Parent,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:41:00,Robot,Let's begin reading.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:43:00,Parent,"Here we go. Ok, [child]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:45:00,Parent,"No, I don't think so. What do you think? How to babysit a grandma. Who is your grandma? And then who else? When you babysit a grandma if youre lucky. It's a sleepover at her house. Hey, look at that.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56:45:00,Child,[mumble],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:13:00,Child,la cataria [spanish],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:14:00,Parent,"cataria [spanish] Ladybug. Ladybug. Misty, does she see it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:26:00,Robot,Can you count the number of family members wearing skirts?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:30:00,Parent,"Who's wearing a skirt? Yeah, just Mama. Oh, let's see what Misty says.",,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
57:41:00,Robot,1. Only mom is wearing a skirt. The rest of the family is wearing pants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:46:00,Parent,Do you like wearing skirt better or pants better?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:50:00,Child,Shorts better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:52:00,Parent,Pants is kind of different than normal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:54:00,Robot,How many bows are there in the little girl's hair?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57:59:00,Parent,How many bows does she have?,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
58:06:00,Researcher,It accidentally skipped that one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58:07:00,Parent,Oh its not that one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58:08:00,Researcher,oh no worries. No worries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58:10:00,Parent,Let's see what does Misty say.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58:12:00,Robot,There are 2 red bows,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58:13:00,Parent,"What should you do when you get to her door? Put on a disguise saying Guess who? Knock with a Secret Knock only she knows that. If you like cats meow if you like dog bark if you like goldfish, what sound is a goldfish. When she opens the door shout grandma, your babysitter is here. How can your mom and dad goodbye and say don't be sad. I'll be home soon. Now tell your grandma all the fun things. You have plans. How to keep a grandma busy? Go to the park. Bake snickerdoodles have a costume parade. Go to the park to feed the ducks. Do yoga. Look at family pictures. Go to the park to swing. Play hide and see. Make goofy hats go",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58:48:00,Robot,How many fingers does a little girl have in total?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59:15:00,Parent,How many fingers does she have?,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
59:17:00,Researcher,"Maybe Oh, she doesn't? Oh, sorry. Yeah, no, no worries. Just don't want to interrupt you. I think it accidentally see the tag is I see it's not interrupting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59:27:00,Parent,"Um, [child], does she have the same number of fingers as us? Look at how many fingers you have?",,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
59:37:00,Parent,"[spanish] it or how many do you have? When think about when you're [spanish]? What did they say [spanish]? [spanish] Give me five. But she only has look 1, 2, 3, 4, 1, 2, 3, 4, 5. Oh wait, she does have 5 they just look funny. I see here's a little one. She has 5 too just like us. ",,1,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
59:37:00,Parent,"Okay, we can go to the park, what to do with the park. Slide down the bumpy slide and the twirly slide. If she's feeling brave, try the tallest slide of all. Push your grandma on the swing, but not too high. Remember to remind her to pump her legs. feed the ducks. Show her how to help the shy ones get some food. Don't forget good babysitters always say 5 more minutes. That will tell you before it's time to go. Look at this little like crew of lizards.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59:37:00,Child,[spanish],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00:52,Child,"5 more minutes, 5 more minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00:55,Parent,How many of the lizards are there?,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00:57,Parent & Child,"1, 2, 3, 4",,,,,,,,,1,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:01:02,Parent,"What do you think Misty will ask us? We have to show her, Misty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:01:10,Robot,How many ducks have green necks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:01:12,Parent,"Oh, yeah, some ducks are green and some aren't do not have green. You see that? Usually the boy ducks have green and the girl ducks dont. Here they have 1, 2",,1,,,,,,,,,,,2,1,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
1:01:28,Child,Are they both boy ducks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:01:30,Parent,"Yeah, usually the boys are green",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:01:31,Robot,There could be 3 or 4 because one duck was underwater. I wonder what color its neck might be?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:01:37,Parent,"Oh, true. We didn't even know that's a great point misty. I don't even think about that. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:01:37,Parent,"Back home plan some more fun. How to play with it, grandma. Grab two microphones and sing a duet. You might want to try You are my sunshine or Happy Birthday. or make up a new song together. line up all her shoes to play shoe shop as your sister likes to do if your grandma likes fancy things, decorate her hair with ribbons bows and stickers and shout tah-dah when you hand her a mirror. What do you think Misty? I think she likes this look like she was happy with me.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:02:17,Robot,Can you count the number of orange beads you can see in grandma's hair?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:02:25,Parent,"Which ones are the orange ones though? Those Uh huh. 1, oh, those are rings that she has on her fingers.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:02:42,Robot,"spot on, you can see there are 8 orange beads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:02:46,Parent,"8. And it's time for dinner. Your grandma may be a yummy cook, but share your tricks to make everything taste even yummier what does she do, she adds sprinkles to anything while almost anything. Arrange the food to make silly faces. Shut your eyes as you take each bite and say yum.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:03:10,Child,whats that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:03:12,Parent,French fries I think what do you think? Oh What is she doing now? She's putting sprinkles on her toes. When it starts to get dark take your grandma outside to find the first star. What do you think Misty?,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:03:36,Robot,How many points does the biggest and brightest star have?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:03:40,Parent,"Oh, that's the brightest one. How many points does it have? 1, 2, 3, 4, 5. What do you think does misty  want to answer? You can press that one and see what she says.",,1,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1:03:58,Robot,The star has 10 points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:04:00,Parent,"Oh, whoops. I missed the lower ones behind it well misty has good eyes shes a very good observer. Back inside. Look, look and read some books. Turn the pages slowly so she can find everything in the pictures. Ask your grandma for stories about when your mom was little. What was mom's favorite thing to do at the park? Did she ever get in trouble? Was her grandma's fun as you teach her to say I love you without making a sound so point to your eye. eye love your heart. And then you, I love you, whats that maybe he's concentrating on his book. Let's see. What do you think?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:04:32,Robot,It looks like there are 5 books. What number comes after 5?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:04:57,Parent,[spanish]  which number comes after 5?,,1,,,,,,,,,,,5,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1:05:13,Parent & Child,"[spanish counting] 1, 2, 3, 4, 5, 6",,1,,,,,,,1,,1,,6,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1:05:16,Parent,"Wait, I see this book is about cat. Do dogs like cat? Sometimes they do not. Maybe that's why he's really angry because he's reading a book last night he doesn't like now that your grandma choose where she wants to sleep, she can sleep in a tent, on the floor.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:05:37,Robot,"If grandma wants to put 2 more blankets on, how many blankets would she have?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:05:42,Parent,"Oh, because right now she only has 1. What? 1, so she wants to put 2 more. How many will she have? Tell us, Misty!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:05:52,Robot,She would be having 3 blankets on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:05:55,Parent,"1, 2, 3",,1,,,,,,,,,,,3,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1:05:57,Child,He is rolling him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:05:58,Parent,he's rolling him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:00,Child,5?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:01,Parent,"I think because it's kind of fun. It's like your little teco, little burrito",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:06,Child,burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:08,Parent,Do you think Misty would like to be in a burrito?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:11,Child,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:12,Researcher,Why not? You could ask her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:14,Child,Do you want to be in the burrito?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:17,Parent,"She seems happy about that. No, she can't go in the pool because she's sure she has too many parts that can't get wet probably. Well, you can ask her if she's waterproof.",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:31,Child,Are you waterproof?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:06:36,Parent,"How do you know? I'd be cool. She could she'd be like, amphibious. Once you're both tucked in, make shadow puppet. Have your shadow foxes kiss goodnight. That's grandma. If shes Missing your mom and dad tell her they'll be here tomorrow. Bright and early. What do you think, Misty?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:07:03,Robot,Can you see the 8 fingers in the shadow? What number comes before 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:07:08,Parent,"Yeah, wait, let's see the fingers. 1, 2, 3, 4, 5,6, 7, 8. So which comes before 8?",,1,,,,,,,,,,,8,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1:07:18,Parent & Child,"7, 8",,,,,,,,,1,,,1,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:07:22,Parent,Which one is first?,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:07:23,Child,Can I lay down on you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:07:25,Parent,You want to lay down on me? Lay down on me not the ground. Let's see what Misty says,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:07:33,Robot,7 comes before 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:07:36,Parent,"In the morning when you hear a knock [knock on the table] open the door dressed up as twins. They're twins. They're dressed the same. After you're all packed up comes the hardest part. Goodbye time to say goodbye to Grandma. Let her borrow some sprinkles. Some books. Some stickers, some ribbon. Say I love you without making the sound",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:08:04,Child,What is that?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:08:05,Parent,I don't know. What do you think? It's her purse. Give her a big hug and ask when can I babysit you again? I hope you're hungry. Let's see where Misty says that this,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:08:19,Robot,"If Grandma gave each mom and dad a hug after hugging the girl, how many hugs Has she given?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:08:26,Parent,"She gave one to the girl but then let's say she hugs mama, 2 and she hugs the dada",,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1:08:34,Parent & Child,3,,1,,,,,,,1,,1,,3,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1:08:37,Robot,Grandma would have given 3 hugs. You finish the book. Do you want to read more today?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:08:46,Child,Are you done reading [child]? I think yes. [A2-end],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
